name,city,source,link,min_salary,max_salary,currency
Котломойщик/Уборщик,Москва,HH.RU,https://hh.ru/vacancy/42745059?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,50000.0,,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42804124?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,47250.0,,руб.
Клинер,Москва,HH.RU,https://hh.ru/vacancy/42853723?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,50000.0,60000.0,руб.
Дворник,Владивосток,HH.RU,https://hh.ru/vacancy/41716949?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,33000.0,руб.
Уборщик помещений,Тюмень,HH.RU,https://hh.ru/vacancy/42872118?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Уборщица/уборщик офисных помещений,Москва,HH.RU,https://hh.ru/vacancy/42105842?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,35000.0,руб.
Уборщица / уборщик в офис,Москва,HH.RU,https://hh.ru/vacancy/42764212?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,,руб.
Утренний уборщик помещений,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42672695?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,14000.0,16000.0,руб.
Дворник,Альметьевск,HH.RU,https://hh.ru/vacancy/42230548?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,18600.0,,руб.
Уборщик помещений,Рязань,HH.RU,https://hh.ru/vacancy/42873389?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,8000.0,руб.
Ночная горничная/уборщик помещений,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42503400?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,43908.0,,руб.
Уборщик территории - дворник,Биробиджан,HH.RU,https://hh.ru/vacancy/42862903?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,52000.0,,руб.
Уборщик/уборщица,Екатеринбург,HH.RU,https://hh.ru/vacancy/42352261?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,50000.0,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42836861?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,40000.0,руб.
Дворник,Ростов-на-Дону,HH.RU,https://hh.ru/vacancy/42831754?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,20000.0,,руб.
Уборщик служебных помещений,Томск,HH.RU,https://hh.ru/vacancy/42832733?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,10000.0,,руб.
Уборщица-подсобница / Уборщик-подсобник на кондитерскую фабрику,Москва,HH.RU,https://hh.ru/vacancy/42425634?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,48000.0,60000.0,руб.
Уборщик офисных помещений,Москва,HH.RU,https://hh.ru/vacancy/42877464?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,30000.0,руб.
Дворник/разнорабочий,Москва,HH.RU,https://hh.ru/vacancy/42884542?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40000.0,,руб.
Дворник,Пермь,HH.RU,https://hh.ru/vacancy/42829226?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,16000.0,,руб.
Дворник,Ярославль,HH.RU,https://hh.ru/vacancy/42381919?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,13000.0,15000.0,руб.
Дворник,Ульяновск,HH.RU,https://hh.ru/vacancy/42867602?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,12000.0,руб.
Уборщик административных помещений,Москва,HH.RU,https://hh.ru/vacancy/42874719?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,30000.0,руб.
Уборщик помещений,Москва,HH.RU,https://hh.ru/vacancy/42295629?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,40000.0,руб.
Дворник,Новосибирск,HH.RU,https://hh.ru/vacancy/42827898?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,17000.0,17000.0,руб.
Уборщица/уборщик,Москва,HH.RU,https://hh.ru/vacancy/42870679?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,25000.0,руб.
Уборщик офисных помещений,Саратов,HH.RU,https://hh.ru/vacancy/42866813?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,20000.0,23000.0,руб.
Дворник (разнорабочий),Пермь,HH.RU,https://hh.ru/vacancy/42221385?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,15000.0,руб.
